"transaction_sk","transaction_ts","transaction_amount","transaction_channel_type_cd","transaction_channel_type_desc","transaction_dr_cr","transaction_ref_num","transaction_status_cd","transaction_status_desc","merchant_id","account_sk"
305157,"2014-09-01","-9.22","NA","NA","NA","NA","NA","NA","NA","2942"
305158,"2014-09-02","-8.15","NA","NA","NA","NA","NA","NA","NA","2942"
305159,"2014-09-02","-13.57","NA","NA","NA","NA","NA","NA","NA","2942"
305160,"2014-09-03","-5.33","NA","NA","NA","NA","NA","NA","NA","2942"
305161,"2014-09-03","-48.2","NA","NA","NA","NA","NA","NA","NA","2942"
305162,"2014-09-03","-11.04","NA","NA","NA","NA","NA","NA","NA","2942"
305163,"2014-09-03","-9.36","NA","NA","NA","NA","NA","NA","NA","2942"
305164,"2014-09-03","-9.36","NA","NA","NA","NA","NA","NA","NA","2942"
305165,"2014-09-04","-7.77","NA","NA","NA","NA","NA","NA","NA","2942"
305166,"2014-09-04","-6.11","NA","NA","NA","NA","NA","NA","NA","2942"
305167,"2014-09-04","-10.22","NA","NA","NA","NA","NA","NA","NA","2942"
305168,"2014-09-04","-11.43","NA","NA","NA","NA","NA","NA","NA","2942"
305169,"2014-09-04","-13.41","NA","NA","NA","NA","NA","NA","NA","2942"
305170,"2014-09-05","-9.49","NA","NA","NA","NA","NA","NA","NA","2942"
305171,"2014-09-05","-7.97","NA","NA","NA","NA","NA","NA","NA","2942"
305172,"2014-09-05","-10.8","NA","NA","NA","NA","NA","NA","NA","2942"
305173,"2014-09-05","-7.31","NA","NA","NA","NA","NA","NA","NA","2942"
305174,"2014-09-05","-14.3","NA","NA","NA","NA","NA","NA","NA","2942"
305175,"2014-09-06","-123.0","NA","NA","NA","NA","NA","NA","NA","2942"
305176,"2014-09-06","-6.82","NA","NA","NA","NA","NA","NA","NA","2942"
305177,"2014-09-06","-111.81","NA","NA","NA","NA","NA","NA","NA","2942"
305178,"2014-09-06","-9.75","NA","NA","NA","NA","NA","NA","NA","2942"
305179,"2014-09-06","-11.05","NA","NA","NA","NA","NA","NA","NA","2942"
305180,"2014-09-07","-180.17","NA","NA","NA","NA","NA","NA","NA","2942"
305181,"2014-09-07","-17.32","NA","NA","NA","NA","NA","NA","NA","2942"
305182,"2014-09-08","-3.39","NA","NA","NA","NA","NA","NA","NA","2942"
305183,"2014-09-09","-5.94","NA","NA","NA","NA","NA","NA","NA","2942"
305184,"2014-09-09","1100","NA","NA","NA","NA","NA","NA","NA","2942"
305185,"2014-09-09","-7.98","NA","NA","NA","NA","NA","NA","NA","2942"
305186,"2014-09-09","-10.05","NA","NA","NA","NA","NA","NA","NA","2942"
305187,"2014-09-09","-11.59","NA","NA","NA","NA","NA","NA","NA","2942"
305188,"2014-09-10","-4.82","NA","NA","NA","NA","NA","NA","NA","2942"
305189,"2014-09-11","-5.83","NA","NA","NA","NA","NA","NA","NA","2942"
305190,"2014-09-12","-9.8","NA","NA","NA","NA","NA","NA","NA","2942"
305191,"2014-09-12","-11.91","NA","NA","NA","NA","NA","NA","NA","2942"
305192,"2014-09-12","-8.25","NA","NA","NA","NA","NA","NA","NA","2942"
305193,"2014-09-13","-9.37","NA","NA","NA","NA","NA","NA","NA","2942"
305194,"2014-09-13","-7.79","NA","NA","NA","NA","NA","NA","NA","2942"
305195,"2014-09-13","-8.44","NA","NA","NA","NA","NA","NA","NA","2942"
